No.;Judul Berita
36;Jangan Panik, Seseorang yang Terinfeksi Covid-19 Varian Omicron Dapat Sembuh Setelah Mengonsumsi Paracetamol 500 mg, Vitamin C 1000 mg, dan Vitamin D3 1000 IU
37;Video Warga Kanada Menghancurkan Kamp Karantina di luar Kota Ottawa
38;Vaksin COVID-19 Menyebabkan Sindrom VAIDS
39;Video Pasien Meninggal 15 Menit setelah Divaksin
40;Antibodi Covid-19 Membuat ASI Berubah Warna
41;Bentuk Virus Omicron Seperti Lambang Nazi
42;Paracetamol adalah Obat COVID-19 Varian Omicron
43;Radiasi 5G Menyebabkan Gelaja Mirip Flu
44;Terlihat Korban Covid-19 Tergeletak di Jalanan Ternyata Hanya Akting Belaka
45;Cerita Dalam Novel Telah Memprediksi Adanya Pandemi COVID-19
46;Mayoritas Penduduk Dunia Belum Divaksin Covid-19
47;Pidato Henry Kissinger Sebut Vaksin adalah Alat Pengendali Populasi
48;Game Omicron Sejak Tahun 1999
49;Garam dan Air Kelapa dapat Hilangkan Vaksin di Dalam Tubuh
50;Omicron Bukanlah Virus Melainkan Akibat Dari Keracunan Chemtrail Yang Disebar Di Udara
51;Campuran Daun Pepaya dan Jahe Dapat Sembuhkan Omicron
52;Covid-19 Hoax Karena Narasinya Sudah Ada Sebelum Covid-19 Muncul
53;Vaksin Booster Menyebabkan Manusia Bertingkah Seperti Zombie
54;Sinar UV di Indonesia Tameng Omicron
55;Sebuah Koran Menyebut Bill Gates Melakukan Depopulasi Melalui Pemaksaan Vaksinasi
56;Pembagian Masker Gratis yang Diberi Obat Bius ke Rumah-Rumah Warga
57;Video “Nigeria, Minggu 23-01-2022, menghancurkan jutaan Vaksin Covid19 demi melindungi rakyatnya dari kematian akibat Suntikan Vaksin Covid19”
58;Video Pria Dipaksa Vaksin
59;Dzalim, Cara Vaksin Model Baru Anti Omicron
60;Foto Lampion untuk Perayaan Imlek Saat Pandemi Covid-19
61;Sri Sultan Hamengku Buwono X Mengganggap Covid 19 Sandiwara di Bumi NKRI
62;Razia Masker dengan Denda Rp250 Ribu di Seluruh Indonesia
63;Daftar Negara Umumkan Pembatalan Semua Prosedur Wajib Karantina, Tes COVID-19, dan Vaksin
64;Atlet Rugby Jordan Michallet Meninggal karena Vaksin Covid-19
65;Minum Kopi Pahit Terbukti Klinis Sembuhkan COVID-19 Varian Omicron
66;Corona Hanya Flu Musiman
67;Penyuntikan Vaksin Kosong di Semarang
68;“HARI RAYA IMLEK, HADIR & BERKERUMUN TANPA PROKES sdh diCONTOHkan oleh Jokowi”
69;Siap-siap Suntik Vaksin Dosis Ketiga, Tak Punya Kartu BPJS Kesehatan Wajib Bayar
70;Guru Ngaji di Balangan Lumpuh Setelah Divaksin
71;Bantuan Sosial Kemensos untuk Dosen, Guru, Siswa, dan Mahasiswa
72;Swab Test Mengakibatkan Kerusakan Kelenjar Pineal
73;Pesan Berantai Resep Obat COVID-19
74;Pemain Tenis Australia Open Pingsan saat Bertanding Akibat Vaksinasi COVID-19
75;Penawaran Pencairan Dana Bantuan 1,2 Juta Bulan Januari – Februari 2022
76;Mengonsumsi Kopi Pahit Dapat Mengatasi Varian Omicron
77;“Luhut dan pak mahfud tidak divaksin dengan alasan usia”
78;Akses Akun Facebook Gunakan Bukti Vaksinasi COVID-19
79;Microsoft Mengembangkan Implan Chip Mikro Untuk Mengumpulkan Informasi Vaksin COVID-19
80;“#StopVaccineForTheKids Apa urgensinya?”
81;Warga Korea Selatan yang Belum Vaksin Tidak Dapat Mengikuti Pemilu
82;Bubuk Jahe Dapat Menyembuhkan Infeksi Varian Omicron
83;Benda Logam Menempel pada Lengan setelah Divaksin
84;Bill Gates akan Menarik Semua Peredaran Vaksin Covid-19
85;Video 90% Alat Tes Covid-19 Palsu dan Tidak Berfungsi
86;Jasa Pembuatan Sertifikat Vaksin Tanpa Harus Melakukan Vaksinasi
87;WHO Mengatakan Vaksinasi di Seluruh Dunia Harus Dihentikan
88;Kipas Angin Listrik yang Diletakkan di Dahi Dapat Menghilangkan Virus
89;Video Protes Melawan Tirani Covid-19 di Belanda
90;Viagra Dapat Menyembuhkan Covid-19
91;Pasien Covid-19 Tanpa Gejala Berarti Sehat dan Mendapatkan Hasil Test Positif Palsu
92;Penyebaran Varian Omicron Lebih Cepat dari Jadwal Mei 2022
93;Telah Muncul Varian Baru Corona Bernama “Florona”
94;Atlet Tenis Dalila Jakupovic Mengalami Kesulitan Bernapas saat Babak Kualifikasi Australia Open karena Vaksin Covid-19
95;Login ke Facebook Wajib Gunakan Sertifikat Vaksin
96;Booster Vaksin Covid-19 Diberikan Setiap 6 Bulan Sekali
97;Omicron dalam Bahasa Yunani Artinya “AKHIR ZAMAN”
98;Daftar Kandungan Bahan Kimia Berbahaya dalam Vaksin Covid-19
99;Vaksin mRNA Sebabkan Kematian Pada Lansia
100;Lowongan Kerja Vaksinator di Puskesmas Kota Batu
101;Pemerintah New Zealand Mengizinkan Euthanasia Secara Spesifik bagi Pasien COVID-19
102;WHO Mengatakan Vaksinasi di Seluruh Dunia Harus Dihentikan
103;CDC Mengumumkan Tes PCR Tidak Mampu Membedakan Virus SARS-Cov-2 dan Influenza
104;Video Penduduk Aborigin di Australia Menyambut Pemerintah dengan Busur dan Panah sebagai Bentuk Penolakan Vaksin Covid-19
105;Vaksin mRNA pada Pfizer dan Moderna Berbahaya Bagi Anak-Anak
106;Tautan Penerima BLT UMKM Bulan Januari 2022 Sebesar Rp1,2 Juta
107;Gagal Jantung hingga Strok adalah Gejala Omicron
108;Poster Acara Perayaan Tahun Baru 2022 Rembang Expo
109;Pemesanan Online Vaksin Covid-19 Sinopharm Melalui E-Commerce
110;Link Mengecek Bantuan Rp500.000 bagi yang Mempunyai E-KTP
111;Victor Lindelof Gagal Jantung setelah Vaksinasi Covid-19, kemudian Jantungnya Dipasangi Chip
112;Buku Berjudul “Understanding Omicron Variant” oleh Dr Theresa Bishop Terbit Tahun 2020 Sebelum Varian Omicron Ditemukan di Dunia
113;Delmicron Varian Baru Corona Gabungan Delta-Omicron
114;Ratusan WNI Tertahan di Bus Karena Wisma Atlet Lockdown setelah Ditemukan Varian Omicron
115;Jadwal Kemunculan Varian Omicron
116;Link Mendaftarkan Bantuan Covid-19 Bagi yang Mempunyai E-KTP
117;Vaksin Sinovac Belum Dilakukan Uji Coba untuk Anak-anak Indonesia
118;Terdapat Cairan Iblis dalam Kandungan Vaksin COVID-19 yang Sebabkan Kematian
119;Ilmuwan Pfizer: Diperlukan Vaksinasi Mingguan untuk Varian Omicron
120;Video Bukti Varian Omicron Hanya Dibuat-Buat
121;Judul Berita “Ilmuwan Pfizer Memperingatkan Vaksinasi Mingguan untuk virus Omicron Mungkin Diperlukan untuk Mencegah Lockdown”
122;Bill Gates Pembuat Virus Covid-19
123;Game “Omicron” Buatan Bill Gates yang Rilis di Tahun 1999
124;Dokter di Malaysia Meninggal Setelah Mendapatkan Vaksin Pfizer
125;Video Warga Austria Menentang Lockdown
126;Gejala Varian Omicron Disebabkan oleh Komplikasi Vaksin Covid-19
127;Foto Supermarket di Jerman Memasang Pagar Pembatas untuk Memisahkan Pengunjung yang Sudah Divaksin dan Belum Divaksin
128;Mandi Detox Menggunakan Campuran Garam Epsom, Baking Soda, Borax, dan Indian Healing Clay Mampu Mengeluarkan Kandungan Vaksin Covid yang Sebelumnya Telah Disuntikkan Kepada Seseorang
129;Pemerintah Indonesia Paksakan Booster Vaksin COVID-19 kepada Publik
130;Video Wawancara CEO BioNTech Menolak Divaksin Karena Alasan Keamanan
131;Tabel Jadwal Peluncuran Virus Corona Varian Omicron
132;Varian Omicron Ditemukan Sejak Juli 2021
133;Rapid Test Device Berlabel Positif dan Negatif Sudah Dimuat Virus
134;Protes Vaksinasi di Yunani Berakhir Ricuh
135;Varian Omicron Disebabkan oleh Komplikasi dari Vaksin COVID-19
136;Poster Film Berjudul “The Omicron Variant” yang Dirilis pada Tahun 1963
137;Pemerintah Paksakan Vaksin Booster
138;Komik “Phantom” yang Terbit Tahun 1957 Memprediksi Munculnya Covid-19
139;FDA: Suntikan Booster Vaksinasi Pfizer Berpotensi Infeksi Berat pada Hati
140;Video Wanita Tak Bermasker Menolak untuk Duduk Bersebelahan dengan Pria yang Belum Divaksin
141;Terdapat Parasit yang Mematikan di Dalam Vaksin Covid-19
142;Jepang Menggunakan Ivermectin dan Menghentikan Vaksin untuk Memberantas Virus Covid-19
143;PPKM Level 4 Pada 24 Desember 2021 Karena Ada Varian Covid-19 Baru
144;Swab PCR Merupakan Cara untuk Melakukan Vaksinasi
145;Aliansi Dokter Dunia Mengatakan Bahwa Varian Delta Tidak Ada
146;Vaksinasi Covid-19 Menyebabkan Seseorang Terkena Kanker
147;Sperma Orang yang Sudah Divaksin Tidak Sehat
148;Lowongan Kerja Puskesmas Mulyorejo
149;Akun Facebook Kabid P2P Dinkes Sampang dokter Yuliono
150;Link Palsu Pengecekan Bantuan COVID-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM
151;Rumah Sakit Australia Penuh Karena Pasien Mengalami Efek Samping Vaksin
152;Mahkamah Agung Amerika Serikat Telah Membatalkan Vaksinasi Masal
153;Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa
154;Penampakan Foto Bayi Satu Mata dan Berekor Akibat Ibunya Divaksin COVID-19 saat Mengandung
155;Jepang Hentikan Vaksin Covid-19 dan Memilih Ivermectin
156;Tautan Pengecekan Bantuan Covid-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM
157;Pemerintah Akan Suntik Paksa Vaksin Mematikan pada 22 Februari 2022
158;Bayi Dilahirkan dengan Kelainan Genetik Akibat Ibunya Disuntik Vaksin Covid-19
159;Subsidi Pulsa Rp250 Ribu dan Kuota 75Gb dari Kemendikbud
160;Vaksin Covid-19 Mengandung Graphene Oxide yang Bereaksi pada Getaran Musik
161;Robot Dirancang untuk Memberikan Vaksinasi Secara Paksa
162;Tes Swab Dapat Menggores Amigdala dan Dilakukan di Zaman Mesir Kuno untuk Membuat Budak Menjadi Patuh
163;13 Anak Sekolah di Afrika Meninggal Karena Vaksin Covid-19
164;Foto Kemasan Vaksin Sinovac “Only for clinical trial”
165;Indonesia Terpilih Menjadi Presiden G20 Karena Berhasil Kendalikan Pandemi
166;“CEO Pfizer ditangkap, didakwa dengan penipuan”
167;Stroke Menyerang Anak-Anak sebagai Efek Samping Vaksin COVID-19
168;WHO Akui COVID-19 Sama dengan Flu Biasa dan 500.000 Orang di AS Tewas karena Vaksin
169;Video Jenazah COVID-19 yang Sedang Merokok
170;Seorang Anak Meninggal Setelah Divaksinasi COVID-19
171;Menghirup Cuka dapat Menyembuhkan Covid-19
172;600 Pelajar China Diberikan Vaksin Kosong di DKI Jakarta
173;Studi FDA: Vaksin Pfizer Membuat Orang Lebih Rentan Tertular Covid-19
174;Scan MRI Harus Dihindari Penerima Vaksin Covid-19
175;Video Bayi Terlahir Cacat Akibat Vaksin COVID-19 di India
176;Uni Eropa Akan Menghentikan Program Vaksin Covid-19 Mulai Oktober 2021
177;Video Pidato Anthony Fauci Mengembangkan Virus Influenza Baru
178;Judul Berita ITV tentang Seorang Pria Bersedia Divaksin setelah Membuat Tiga Orang Temannya Meninggal karena Covid-19
179;Maskapai Penerbangan Internasional Melarang Penumpang yang Sudah Divaksinasi untuk Melakukan Perjalanan Penerbangan
180;Sinovac Tidak Manjur, China Pindah ke Pfizer dan Moderna
181;Balita divaksin “Upaya Menuju Pemusnahan Massal Umat Islam”
182;Pilot Pesawat Maskapai Delta Meninggal setelah Divaksin
183;Kasus Positif Covid-19 di Surabaya Naik
184;Dana Bantuan Kesehatan & Modal Usaha dari Pusat BPJS Kesehatan
185;Darah Orang yang Divaksin Covid-19 Menjadi Tidak Normal dan Tidak Bisa Donor Darah
186;Ribuan Orang di Indonesia Meninggal Dunia setelah Vaksin COVID-19
187;Uni Eropa Hentikan Vaksin COVID-19 Mulai 20 Oktober 2021
188;CDC Amerika Serikat Memperingatkan Adanya Penyakit Mirip Polio yang Akan Muncul Pada Akhir Tahun 2021
189;Situs Pedulilindungiq.com dan Minta Dana Rp1 Juta Untuk Vaksin Covid-19
190;Penampakan Protes Wajib Vaksin di Melbourne Tahun 2021
191;Bahaya Vaksin Pfizer Bagi Bayi yang Disusui
192;Covid-19 adalah Rencana Depopulasi Dunia
193;Video Jokowi Berjoget dan Kerumunan Tidak Patuh Prokes
194;Mengonsumsi Antibiotik Dapat Menyembuhkan COVID-19
195;Sertifikat Vaksin Menjadi Syarat Pengisian BBM di SPBU Wilayah Trumon Raya, Aceh Selatan
196;Foto PM Singapura Mengantre Vaksin Covid-19
197;Aplikasi PeduliLindungi Dibuat dan Semua Data direkam oleh Singapura
198;Ketua MUI Memperbolehkan Merapatkan Shaf Shalat
199;WHO Merencanakan Modifikasi Genetik Manusia Melalui Vaksinasi
200;“Utsmaniy menjadi pelopor dalam penanganan wabah melalui vaksinasi”
201;Video “Rakyat Menang.. !! Pemerintah Rumania menutup semua pusat vaksin..!”
202;Vaksin Covid-19 Dapat Mengubah Warna Darah
203;Imbauan Menkes terkait Larangan Bepergian dan Berkumpul karena Adanya Varian Baru COVID-19
204;Video Demo Menolak Wajib Vaksin di Brazil
205;PPKM diperpanjang Bansos dihentikan
206;Tukul Sakit Pendarahan Otak karena Vaksin
207;Pendaftaran Vaksin Nusantara melalui WhatsApp
208;Mengonsumsi Labu Kuning Dapat Menyembuhkan Covid-19
209;Tautan Subsidi Pulsa Rp250.000 dan Kuota 75 GB dari Kemendikbud untuk Periode Desember 2021
210;Orang yang Berhalangan Vaksinasi Covid-19 Tidak Bisa Naik KRL
211;Panggilan Telepon Informasi Seputar Vaksinasi
212;Mulai 1 Oktober Pasien Covid Tidak Ditanggung Kemenkes
213;Dr. Ir. Sri Nurdiati, M.Sc: “Banyak orang nggak sadar pentingnya “ANTIBODI” stoknya harus selalu ada”
214;Gambar Bupati Lamongan Ajak Perantau untuk Pulang
215;Judul Berita ITV tentang Efek Samping Vaksin yang Membuat Wajah Menjadi Merah
216;Aplikasi PeduliLindungi Buatan Singapura
217;Laboratorium Pfizer di Madrid Terbakar
218;Artikel CNN dengan Judul “Healthy 40-year Old COVID Victim’s Last Words: I blame unvaccinated for this”
219;Tautan Subsidi Pulsa Rp250 Ribu dan Kuota 75 GB oleh Kemendikbud untuk Periode Desember
220;Mengunyah Cengkeh atau Kayu Manis Dapat Meningkatkan Kadar Oksigen
221;Link Peduli Lindungi (pedulilindungia.com)
222;Situs Palsu Mengatasnamakan PeduliLindungi
223;Presiden Umumkan Bebas Masker & Kegiatan Masyarakat kembali Normal
224;Link Cek Bantuan per 10 September 2021 sebesar Rp600.000 bagi Pengguna E-KTP
225;Bill Gates Menolak Vaksinasi COVID-19 Untuk Anaknya
226;Mengunyah Cengkeh atau Kayu Manis dapat Meningkatkan Kadar Oksigen yang Sedang Menurun
227;Pesan Berantai Tim Vaksinasi GSP Meminta Data Pribadi
228;Mencuci Hidung Dengan Garam Menghilangkan Virus Corona
